ID;poID;orderNumber;materialID;material;supplierID;supplier;quantity;unit;unitPrice;totalAmount;currency_code;status;deliveryDate;notes;requestedBy;generatedByAI;createdAt;modifiedAt
1;PO-0001;PO-2024-001;MAT-0001;Steel Rods 10mm;SUP-0001;MetalCorp Industries;500;PC;12.50;6250.00;USD;Approved;2024-08-15;Urgent delivery required for construction project;John Doe;false;2024-07-15T10:00:00Z;2024-07-15T10:00:00Z
2;PO-0002;PO-2024-002;MAT-0002;Aluminum Sheets 2mm;SUP-0002;AlumTech Solutions;200;M;25.75;5150.00;USD;Draft;2024-08-20;Quality certification required;Jane Smith;false;2024-07-16T10:00:00Z;2024-07-16T10:00:00Z
3;PO-0003;PO-2024-003;MAT-0003;Copper Wire 2.5mm;SUP-0003;ElectroSupply Co.;1000;M;3.20;3200.00;USD;Submitted;2024-08-10;Electrical grade copper required;Mike Johnson;false;2024-07-17T10:00:00Z;2024-07-17T10:00:00Z
4;PO-0004;PO-2024-004;MAT-0004;Concrete Mix;SUP-0004;BuildMaster Supplies;50;KG;8.90;445.00;USD;Delivered;2024-07-30;High-strength concrete for foundation;Sarah Wilson;false;2024-07-18T10:00:00Z;2024-07-18T10:00:00Z
5;PO-0005;PO-2024-005;MAT-0005;Safety Helmets;SUP-0005;SafetyFirst Equipment;25;PC;15.00;375.00;USD;Approved;2024-08-05;ANSI certified helmets required;David Brown;true;2024-07-19T10:00:00Z;2024-07-19T10:00:00Z
6;PO-0006;PO-2024-006;MAT-0006;Industrial Lubricant;SUP-0006;LubeTech Industries;100;L;22.50;2250.00;USD;Rejected;2024-08-12;Price too high seeking alternative supplier;Lisa Davis;false;2024-07-20T10:00:00Z;2024-07-20T10:00:00Z
7;PO-0007;PO-2024-007;MAT-0007;Welding Electrodes;SUP-0007;WeldPro Supplies;15;KG;18.75;281.25;USD;Approved;2024-08-08;E7018 electrodes for structural work;Robert Garcia;true;2024-07-21T10:00:00Z;2024-07-21T10:00:00Z
8;PO-0008;PO-2024-008;MAT-0008;PVC Pipes 4 inch;SUP-0008;PipeMaster Inc;100;M;8.45;845.00;USD;Submitted;2024-08-18;Schedule 40 pipes for plumbing;Jennifer Martinez;false;2024-07-22T10:00:00Z;2024-07-22T10:00:00Z
9;PO-0009;PO-2024-009;MAT-0009;Stainless Steel Bolts M12;SUP-0009;BoltTech Solutions;200;PC;2.85;570.00;USD;Approved;2024-08-06;Grade 316 bolts required;Christopher Anderson;true;2024-07-23T10:00:00Z;2024-07-23T10:00:00Z
10;PO-0010;PO-2024-010;MAT-0010;Hydraulic Oil ISO 46;SUP-0010;FluidTech Corp;25;L;12.30;307.50;USD;Draft;2024-08-22;Premium grade hydraulic oil;Amanda Taylor;false;2024-07-24T10:00:00Z;2024-07-24T10:00:00Z
11;PO-0011;PO-2024-011;MAT-0011;LED Light Fixtures;SUP-0011;LightTech Systems;8;PC;45.60;364.80;USD;Submitted;2024-08-25;Energy efficient 40W fixtures;Kevin Thomas;false;2024-07-25T10:00:00Z;2024-07-25T10:00:00Z
12;PO-0012;PO-2024-012;MAT-0012;Rubber Gaskets;SUP-0012;SealPro Industries;500;PC;1.25;625.00;USD;Approved;2024-08-03;EPDM gaskets for sealing;Michelle Jackson;true;2024-07-26T10:00:00Z;2024-07-26T10:00:00Z
13;PO-0013;PO-2024-013;MAT-0013;Carbon Steel Plates;SUP-0013;SteelWorks Ltd;20;M2;35.80;716.00;USD;Draft;2024-08-28;A36 steel plates 10mm thick;Daniel White;false;2024-07-27T10:00:00Z;2024-07-27T10:00:00Z
14;PO-0014;PO-2024-014;MAT-0014;Industrial Adhesive;SUP-0014;ChemBond Corp;12;KG;28.90;346.80;USD;Approved;2024-08-14;Structural epoxy adhesive;Rachel Harris;false;2024-07-28T10:00:00Z;2024-07-28T10:00:00Z
15;PO-0015;PO-2024-015;MAT-0015;Ball Bearings 6205;SUP-0015;BearingTech Inc;50;PC;8.75;437.50;USD;Submitted;2024-08-16;Deep groove ball bearings;Mark Clark;true;2024-07-29T10:00:00Z;2024-07-29T10:00:00Z
16;PO-0016;PO-2024-016;MAT-0016;Insulation Foam;SUP-0016;InsulPro Materials;20;CAN;15.40;308.00;USD;Approved;2024-08-09;Polyurethane foam spray;Laura Lewis;false;2024-07-30T10:00:00Z;2024-07-30T10:00:00Z
17;PO-0017;PO-2024-017;MAT-0017;Ceramic Tiles;SUP-0017;TileMaster Co;30;M2;22.15;664.50;USD;Draft;2024-08-30;Porcelain tiles 600x600mm;Steven Robinson;false;2024-07-31T10:00:00Z;2024-07-31T10:00:00Z
18;PO-0018;PO-2024-018;MAT-0018;Electric Motors 3HP;SUP-0018;MotorTech Industries;2;PC;285.50;571.00;USD;Submitted;2024-09-05;Three-phase motors 1800RPM;Nicole Walker;false;2024-08-01T10:00:00Z;2024-08-01T10:00:00Z
19;PO-0019;PO-2024-019;MAT-0019;Pneumatic Cylinders;SUP-0019;PneumaTech Corp;6;PC;125.75;754.50;USD;Approved;2024-08-11;Double-acting cylinders 50mm;Brian Young;true;2024-08-02T10:00:00Z;2024-08-02T10:00:00Z
20;PO-0020;PO-2024-020;MAT-0020;Fire Extinguishers;SUP-0020;FireSafe Equipment;12;PC;35.90;430.80;USD;Delivered;2024-08-01;ABC dry chemical 5lb units;Ashley Allen;false;2024-08-03T10:00:00Z;2024-08-03T10:00:00Z
21;PO-0021;PO-2024-021;MAT-0021;Titanium Rods 20mm;SUP-0021;TitanTech Materials;5;M;145.80;729.00;USD;Draft;2024-09-10;Grade 2 titanium rods;Gregory King;false;2024-08-04T10:00:00Z;2024-08-04T10:00:00Z
22;PO-0022;PO-2024-022;MAT-0022;Silicone Sealant;SUP-0022;SiliSeal Pro;40;TUBE;8.95;358.00;USD;Approved;2024-08-13;High-temperature sealant;Melissa Wright;true;2024-08-05T10:00:00Z;2024-08-05T10:00:00Z
23;PO-0023;PO-2024-023;MAT-0023;Gear Oil SAE 90;SUP-0023;GearLube Corp;18;L;9.85;177.30;USD;Submitted;2024-08-19;Heavy-duty gear oil;Timothy Lopez;false;2024-08-06T10:00:00Z;2024-08-06T10:00:00Z
24;PO-0024;PO-2024-024;MAT-0024;Pressure Gauges;SUP-0024;GaugeTech Inc;8;PC;28.45;227.60;USD;Approved;2024-08-17;Bourdon tube gauges 0-100 PSI;Kimberly Hill;false;2024-08-07T10:00:00Z;2024-08-07T10:00:00Z
25;PO-0025;PO-2024-025;MAT-0025;Fiberglass Sheets;SUP-0025;FiberTech Materials;15;M2;18.60;279.00;USD;Draft;2024-08-26;E-glass sheets 3mm thick;Joseph Scott;false;2024-08-08T10:00:00Z;2024-08-08T10:00:00Z
26;PO-0026;PO-2024-026;MAT-0026;Chain Hoists 2 Ton;SUP-0026;LiftTech Equipment;2;PC;185.90;371.80;USD;Submitted;2024-09-02;Manual chain hoists;Stephanie Green;true;2024-08-09T10:00:00Z;2024-08-09T10:00:00Z
27;PO-0027;PO-2024-027;MAT-0027;Cutting Fluids;SUP-0027;MachineLube Inc;30;L;14.75;442.50;USD;Approved;2024-08-21;Water-soluble cutting fluids;Andrew Adams;false;2024-08-10T10:00:00Z;2024-08-10T10:00:00Z
28;PO-0028;PO-2024-028;MAT-0028;Expansion Joints;SUP-0028;FlexJoint Systems;4;PC;95.40;381.60;USD;Draft;2024-08-29;Rubber expansion joints 6 inch;Heather Baker;false;2024-08-11T10:00:00Z;2024-08-11T10:00:00Z
29;PO-0029;PO-2024-029;MAT-0029;Heat Exchangers;SUP-0029;HeatTech Solutions;1;PC;1250.00;1250.00;USD;Submitted;2024-09-15;Plate heat exchanger 50 kW;Ryan Gonzalez;false;2024-08-12T10:00:00Z;2024-08-12T10:00:00Z
30;PO-0030;PO-2024-030;MAT-0030;Abrasive Wheels;SUP-0030;GrindTech Tools;25;PC;12.85;321.25;USD;Approved;2024-08-23;Grinding wheels 9 inch;Samantha Nelson;true;2024-08-13T10:00:00Z;2024-08-13T10:00:00Z
31;PO-0031;PO-2024-031;MAT-0031;Polyethylene Sheets;SUP-0031;PolyTech Materials;18;M2;16.25;292.50;USD;Draft;2024-08-31;HDPE sheets 5mm black;Jonathan Carter;false;2024-08-14T10:00:00Z;2024-08-14T10:00:00Z
32;PO-0032;PO-2024-032;MAT-0032;Solenoid Valves;SUP-0032;ValveTech Corp;10;PC;68.90;689.00;USD;Approved;2024-08-24;24V DC valves 1/2 inch;Christina Mitchell;false;2024-08-15T10:00:00Z;2024-08-15T10:00:00Z
33;PO-0033;PO-2024-033;MAT-0033;Thermal Insulation;SUP-0033;ThermalTech Inc;50;M2;8.45;422.50;USD;Submitted;2024-08-27;Mineral wool insulation batts;Matthew Perez;true;2024-08-16T10:00:00Z;2024-08-16T10:00:00Z
34;PO-0034;PO-2024-034;MAT-0034;Proximity Sensors;SUP-0034;SensorTech Systems;6;PC;45.60;273.60;USD;Approved;2024-08-20;Inductive sensors M18;Elizabeth Roberts;false;2024-08-17T10:00:00Z;2024-08-17T10:00:00Z
35;PO-0035;PO-2024-035;MAT-0035;Conveyor Belts;SUP-0035;ConveyTech Inc;12;M;85.40;1024.80;USD;Draft;2024-09-03;Rubber belts 24 inch wide;Charles Turner;false;2024-08-18T10:00:00Z;2024-08-18T10:00:00Z
36;PO-0036;PO-2024-036;MAT-0036;Welding Wire ER70S-6;SUP-0036;WeldWire Pro;35;KG;4.85;169.75;USD;Approved;2024-08-25;MIG wire 0.035 inch;Jessica Phillips;true;2024-08-19T10:00:00Z;2024-08-19T10:00:00Z
37;PO-0037;PO-2024-037;MAT-0037;Centrifugal Pumps;SUP-0037;PumpTech Industries;1;PC;485.75;485.75;USD;Submitted;2024-09-08;5HP pump 3500 RPM;Joshua Campbell;false;2024-08-20T10:00:00Z;2024-08-20T10:00:00Z
38;PO-0038;PO-2024-038;MAT-0038;Flexible Hoses;SUP-0038;HoseTech Corp;22;M;18.95;416.90;USD;Approved;2024-08-28;Hydraulic hoses 1/2 inch;Sarah Parker;false;2024-08-21T10:00:00Z;2024-08-21T10:00:00Z
39;PO-0039;PO-2024-039;MAT-0039;Electrical Conduit;SUP-0039;ConduitTech Inc;80;M;3.85;308.00;USD;Delivered;2024-08-07;EMT conduit 3/4 inch;Michael Evans;true;2024-08-22T10:00:00Z;2024-08-22T10:00:00Z
40;PO-0040;PO-2024-040;MAT-0040;Compressor Oil;SUP-0040;CompressorLube Co;16;L;18.60;297.60;USD;Draft;2024-09-01;Synthetic oil ISO VG 100;Jennifer Edwards;false;2024-08-23T10:00:00Z;2024-08-23T10:00:00Z
41;PO-0041;PO-2024-041;MAT-0041;Safety Glasses;SUP-0041;SafeVision Inc;30;PC;8.95;268.50;USD;Approved;2024-08-26;ANSI Z87.1 clear lens;David Collins;false;2024-08-24T10:00:00Z;2024-08-24T10:00:00Z
42;PO-0042;PO-2024-042;MAT-0042;Threaded Rods M16;SUP-0042;ThreadTech Solutions;60;PC;6.45;387.00;USD;Submitted;2024-08-30;Galvanized rods M16x1000mm;Lisa Stewart;true;2024-08-25T10:00:00Z;2024-08-25T10:00:00Z
43;PO-0043;PO-2024-043;MAT-0043;Vibration Dampers;SUP-0043;VibeTech Corp;15;PC;15.80;237.00;USD;Approved;2024-08-29;Rubber dampers M12 mount;Robert Sanchez;false;2024-08-26T10:00:00Z;2024-08-26T10:00:00Z
44;PO-0044;PO-2024-044;MAT-0044;Epoxy Coatings;SUP-0044;CoatTech Industries;8;KG;32.90;263.20;USD;Draft;2024-09-04;Two-part epoxy floor coating;Michelle Morris;false;2024-08-27T10:00:00Z;2024-08-27T10:00:00Z
45;PO-0045;PO-2024-045;MAT-0045;Limit Switches;SUP-0045;SwitchTech Systems;12;PC;38.75;465.00;USD;Approved;2024-09-02;Heavy-duty switches IP67;Kevin Rogers;true;2024-08-28T10:00:00Z;2024-08-28T10:00:00Z
46;PO-0046;PO-2024-046;MAT-0046;Aluminum Angles;SUP-0046;AngleTech Materials;40;M;12.85;514.00;USD;Submitted;2024-09-05;6061-T6 angles 2x2x1/4 inch;Amanda Reed;false;2024-08-29T10:00:00Z;2024-08-29T10:00:00Z
47;PO-0047;PO-2024-047;MAT-0047;Pneumatic Fittings;SUP-0047;FitTech Corp;100;PC;4.25;425.00;USD;Approved;2024-09-03;Push-connect fittings 1/4 inch;Christopher Cook;true;2024-08-30T10:00:00Z;2024-08-30T10:00:00Z
48;PO-0048;PO-2024-048;MAT-0048;Grinding Compounds;SUP-0048;GrindTech Chemicals;5;KG;24.60;123.00;USD;Draft;2024-09-07;Valve grinding compounds;Rachel Morgan;false;2024-08-31T10:00:00Z;2024-08-31T10:00:00Z
49;PO-0049;PO-2024-049;MAT-0049;Flow Meters;SUP-0049;FlowTech Instruments;2;PC;285.90;571.80;USD;Submitted;2024-09-12;Turbine meters 2 inch NPT;Daniel Bell;false;2024-09-01T10:00:00Z;2024-09-01T10:00:00Z
50;PO-0050;PO-2024-050;MAT-0050;Neoprene Sheets;SUP-0050;RubberTech Inc;12;M2;28.45;341.40;USD;Approved;2024-09-06;Neoprene sheets 3mm thick;Laura Murphy;true;2024-09-02T10:00:00Z;2024-09-02T10:00:00Z
51;PO-0051;PO-2024-051;MAT-0001;Steel Rods 10mm;SUP-0001;MetalCorp Industries;300;PC;12.50;3750.00;USD;Draft;2024-09-10;Additional steel rods for Phase 2;John Doe;false;2024-09-03T10:00:00Z;2024-09-03T10:00:00Z
52;PO-0052;PO-2024-052;MAT-0002;Aluminum Sheets 2mm;SUP-0002;AlumTech Solutions;150;M2;25.75;3862.50;USD;Submitted;2024-09-08;Aluminum for roofing project;Jane Smith;true;2024-09-04T10:00:00Z;2024-09-04T10:00:00Z
53;PO-0053;PO-2024-053;MAT-0003;Copper Wire 2.5mm;SUP-0003;ElectroSupply Co.;800;M;3.20;2560.00;USD;Approved;2024-09-11;Electrical wiring for new building;Mike Johnson;false;2024-09-05T10:00:00Z;2024-09-05T10:00:00Z
54;PO-0054;PO-2024-054;MAT-0004;Concrete Mix;SUP-0004;BuildMaster Supplies;75;KG;8.90;667.50;USD;Delivered;2024-09-02;Foundation work continuation;Sarah Wilson;false;2024-09-06T10:00:00Z;2024-09-06T10:00:00Z
55;PO-0055;PO-2024-055;MAT-0005;Safety Helmets;SUP-0005;SafetyFirst Equipment;40;PC;15.00;600.00;USD;Approved;2024-09-09;Additional safety equipment;David Brown;true;2024-09-07T10:00:00Z;2024-09-07T10:00:00Z
56;PO-0056;PO-2024-056;MAT-0006;Industrial Lubricant;SUP-0006;LubeTech Industries;15;L;22.50;337.50;USD;Draft;2024-09-13;Maintenance lubricants;Lisa Davis;false;2024-09-08T10:00:00Z;2024-09-08T10:00:00Z
57;PO-0057;PO-2024-057;MAT-0007;Welding Electrodes;SUP-0007;WeldPro Supplies;25;KG;18.75;468.75;USD;Submitted;2024-09-12;Structural welding project;Robert Garcia;true;2024-09-09T10:00:00Z;2024-09-09T10:00:00Z
58;PO-0058;PO-2024-058;MAT-0008;PVC Pipes 4 inch;SUP-0008;PipeMaster Inc;120;M;8.45;1014.00;USD;Approved;2024-09-14;Plumbing system expansion;Jennifer Martinez;false;2024-09-10T10:00:00Z;2024-09-10T10:00:00Z
59;PO-0059;PO-2024-059;MAT-0009;Stainless Steel Bolts M12;SUP-0009;BoltTech Solutions;350;PC;2.85;997.50;USD;Draft;2024-09-16;Marine grade bolts;Christopher Anderson;true;2024-09-11T10:00:00Z;2024-09-11T10:00:00Z
60;PO-0060;PO-2024-060;MAT-0010;Hydraulic Oil ISO 46;SUP-0010;FluidTech Corp;40;L;12.30;492.00;USD;Approved;2024-09-15;Hydraulic system maintenance;Amanda Taylor;false;2024-09-12T10:00:00Z;2024-09-12T10:00:00Z
61;PO-0061;PO-2024-061;MAT-0011;LED Light Fixtures;SUP-0011;LightTech Systems;15;PC;45.60;684.00;USD;Submitted;2024-09-18;Warehouse lighting upgrade;Kevin Thomas;false;2024-09-13T10:00:00Z;2024-09-13T10:00:00Z
62;PO-0062;PO-2024-062;MAT-0012;Rubber Gaskets;SUP-0012;SealPro Industries;750;PC;1.25;937.50;USD;Approved;2024-09-17;Sealing gaskets for equipment;Michelle Jackson;true;2024-09-14T10:00:00Z;2024-09-14T10:00:00Z
63;PO-0063;PO-2024-063;MAT-0013;Carbon Steel Plates;SUP-0013;SteelWorks Ltd;35;M2;35.80;1253.00;USD;Draft;2024-09-20;Steel plates for fabrication;Daniel White;false;2024-09-15T10:00:00Z;2024-09-15T10:00:00Z
64;PO-0064;PO-2024-064;MAT-0014;Industrial Adhesive;SUP-0014;ChemBond Corp;20;KG;28.90;578.00;USD;Submitted;2024-09-19;Bonding adhesive for assembly;Rachel Harris;false;2024-09-16T10:00:00Z;2024-09-16T10:00:00Z
65;PO-0065;PO-2024-065;MAT-0015;Ball Bearings 6205;SUP-0015;BearingTech Inc;80;PC;8.75;700.00;USD;Approved;2024-09-21;Replacement bearings;Mark Clark;true;2024-09-17T10:00:00Z;2024-09-17T10:00:00Z
66;PO-0066;PO-2024-066;MAT-0016;Insulation Foam;SUP-0016;InsulPro Materials;30;CAN;15.40;462.00;USD;Draft;2024-09-23;Insulation for new construction;Laura Lewis;false;2024-09-18T10:00:00Z;2024-09-18T10:00:00Z
67;PO-0067;PO-2024-067;MAT-0017;Ceramic Tiles;SUP-0017;TileMaster Co;45;M2;22.15;996.75;USD;Approved;2024-09-22;Flooring tiles for office area;Steven Robinson;false;2024-09-19T10:00:00Z;2024-09-19T10:00:00Z
68;PO-0068;PO-2024-068;MAT-0018;Electric Motors 3HP;SUP-0018;MotorTech Industries;3;PC;285.50;856.50;USD;Submitted;2024-09-25;Motor replacements;Nicole Walker;false;2024-09-20T10:00:00Z;2024-09-20T10:00:00Z
69;PO-0069;PO-2024-069;MAT-0019;Pneumatic Cylinders;SUP-0019;PneumaTech Corp;8;PC;125.75;1006.00;USD;Approved;2024-09-24;Pneumatic system upgrade;Brian Young;true;2024-09-21T10:00:00Z;2024-09-21T10:00:00Z
70;PO-0070;PO-2024-070;MAT-0020;Fire Extinguishers;SUP-0020;FireSafe Equipment;20;PC;35.90;718.00;USD;Draft;2024-09-26;Fire safety compliance;Ashley Allen;false;2024-09-22T10:00:00Z;2024-09-22T10:00:00Z
71;PO-0071;PO-2024-071;MAT-0021;Titanium Rods 20mm;SUP-0021;TitanTech Materials;8;M;145.80;1166.40;USD;Submitted;2024-09-28;Aerospace grade titanium;Gregory King;false;2024-09-23T10:00:00Z;2024-09-23T10:00:00Z
72;PO-0072;PO-2024-072;MAT-0022;Silicone Sealant;SUP-0022;SiliSeal Pro;60;TUBE;8.95;537.00;USD;Approved;2024-09-27;High-temp sealant application;Melissa Wright;true;2024-09-24T10:00:00Z;2024-09-24T10:00:00Z
73;PO-0073;PO-2024-073;MAT-0023;Gear Oil SAE 90;SUP-0023;GearLube Corp;28;L;9.85;275.80;USD;Draft;2024-09-30;Gearbox maintenance oil;Timothy Lopez;false;2024-09-25T10:00:00Z;2024-09-25T10:00:00Z
74;PO-0074;PO-2024-074;MAT-0024;Pressure Gauges;SUP-0024;GaugeTech Inc;12;PC;28.45;341.40;USD;Approved;2024-09-29;System monitoring gauges;Kimberly Hill;false;2024-09-26T10:00:00Z;2024-09-26T10:00:00Z
75;PO-0075;PO-2024-075;MAT-0025;Fiberglass Sheets;SUP-0025;FiberTech Materials;25;M2;18.60;465.00;USD;Submitted;2024-10-01;Composite material sheets;Joseph Scott;false;2024-09-27T10:00:00Z;2024-09-27T10:00:00Z
76;PO-0076;PO-2024-076;MAT-0026;Chain Hoists 2 Ton;SUP-0026;LiftTech Equipment;3;PC;185.90;557.70;USD;Approved;2024-10-03;Additional lifting equipment;Stephanie Green;true;2024-09-28T10:00:00Z;2024-09-28T10:00:00Z
77;PO-0077;PO-2024-077;MAT-0027;Cutting Fluids;SUP-0027;MachineLube Inc;45;L;14.75;663.75;USD;Draft;2024-10-02;Machining operation fluids;Andrew Adams;false;2024-09-29T10:00:00Z;2024-09-29T10:00:00Z
78;PO-0078;PO-2024-078;MAT-0028;Expansion Joints;SUP-0028;FlexJoint Systems;6;PC;95.40;572.40;USD;Submitted;2024-10-04;Pipeline expansion joints;Heather Baker;false;2024-09-30T10:00:00Z;2024-09-30T10:00:00Z
79;PO-0079;PO-2024-079;MAT-0029;Heat Exchangers;SUP-0029;HeatTech Solutions;2;PC;1250.00;2500.00;USD;Approved;2024-10-08;HVAC system heat exchangers;Ryan Gonzalez;false;2024-10-01T10:00:00Z;2024-10-01T10:00:00Z
80;PO-0080;PO-2024-080;MAT-0030;Abrasive Wheels;SUP-0030;GrindTech Tools;40;PC;12.85;514.00;USD;Draft;2024-10-05;Grinding wheel replacements;Samantha Nelson;true;2024-10-02T10:00:00Z;2024-10-02T10:00:00Z
81;PO-0081;PO-2024-081;MAT-0031;Polyethylene Sheets;SUP-0031;PolyTech Materials;28;M2;16.25;455.00;USD;Approved;2024-10-06;Plastic sheeting material;Jonathan Carter;false;2024-10-03T10:00:00Z;2024-10-03T10:00:00Z
82;PO-0082;PO-2024-082;MAT-0032;Solenoid Valves;SUP-0032;ValveTech Corp;15;PC;68.90;1033.50;USD;Submitted;2024-10-07;Automation valve upgrades;Christina Mitchell;false;2024-10-04T10:00:00Z;2024-10-04T10:00:00Z
83;PO-0083;PO-2024-083;MAT-0033;Thermal Insulation;SUP-0033;ThermalTech Inc;70;M2;8.45;591.50;USD;Approved;2024-10-09;Building insulation project;Matthew Perez;true;2024-10-05T10:00:00Z;2024-10-05T10:00:00Z
84;PO-0084;PO-2024-084;MAT-0034;Proximity Sensors;SUP-0034;SensorTech Systems;10;PC;45.60;456.00;USD;Draft;2024-10-10;Sensor system expansion;Elizabeth Roberts;false;2024-10-06T10:00:00Z;2024-10-06T10:00:00Z
85;PO-0085;PO-2024-085;MAT-0035;Conveyor Belts;SUP-0035;ConveyTech Inc;18;M;85.40;1537.20;USD;Approved;2024-10-11;Conveyor system maintenance;Charles Turner;false;2024-10-07T10:00:00Z;2024-10-07T10:00:00Z
86;PO-0086;PO-2024-086;MAT-0036;Welding Wire ER70S-6;SUP-0036;WeldWire Pro;50;KG;4.85;242.50;USD;Submitted;2024-10-12;Welding wire stock replenishment;Jessica Phillips;true;2024-10-08T10:00:00Z;2024-10-08T10:00:00Z
87;PO-0087;PO-2024-087;MAT-0037;Centrifugal Pumps;SUP-0037;PumpTech Industries;2;PC;485.75;971.50;USD;Approved;2024-10-14;Pump system redundancy;Joshua Campbell;false;2024-10-09T10:00:00Z;2024-10-09T10:00:00Z
88;PO-0088;PO-2024-088;MAT-0038;Flexible Hoses;SUP-0038;HoseTech Corp;35;M;18.95;663.25;USD;Draft;2024-10-13;Hydraulic hose replacements;Sarah Parker;false;2024-10-10T10:00:00Z;2024-10-10T10:00:00Z
89;PO-0089;PO-2024-089;MAT-0039;Electrical Conduit;SUP-0039;ConduitTech Inc;100;M;3.85;385.00;USD;Approved;2024-10-15;Electrical conduit installation;Michael Evans;true;2024-10-11T10:00:00Z;2024-10-11T10:00:00Z
90;PO-0090;PO-2024-090;MAT-0040;Compressor Oil;SUP-0040;CompressorLube Co;25;L;18.60;465.00;USD;Submitted;2024-10-16;Compressor maintenance oil;Jennifer Edwards;false;2024-10-12T10:00:00Z;2024-10-12T10:00:00Z
91;PO-0091;PO-2024-091;MAT-0041;Safety Glasses;SUP-0041;SafeVision Inc;50;PC;8.95;447.50;USD;Approved;2024-10-17;Safety equipment replenishment;David Collins;false;2024-10-13T10:00:00Z;2024-10-13T10:00:00Z
92;PO-0092;PO-2024-092;MAT-0042;Threaded Rods M16;SUP-0042;ThreadTech Solutions;80;PC;6.45;516.00;USD;Draft;2024-10-18;Threaded rod stock;Lisa Stewart;true;2024-10-14T10:00:00Z;2024-10-14T10:00:00Z
93;PO-0093;PO-2024-093;MAT-0043;Vibration Dampers;SUP-0043;VibeTech Corp;20;PC;15.80;316.00;USD;Approved;2024-10-19;Vibration control equipment;Robert Sanchez;false;2024-10-15T10:00:00Z;2024-10-15T10:00:00Z
94;PO-0094;PO-2024-094;MAT-0044;Epoxy Coatings;SUP-0044;CoatTech Industries;12;KG;32.90;394.80;USD;Submitted;2024-10-20;Floor coating project;Michelle Morris;false;2024-10-16T10:00:00Z;2024-10-16T10:00:00Z
95;PO-0095;PO-2024-095;MAT-0045;Limit Switches;SUP-0045;SwitchTech Systems;18;PC;38.75;697.50;USD;Approved;2024-10-21;Safety switch upgrades;Kevin Rogers;true;2024-10-17T10:00:00Z;2024-10-17T10:00:00Z
96;PO-0096;PO-2024-096;MAT-0046;Aluminum Angles;SUP-0046;AngleTech Materials;55;M;12.85;706.75;USD;Draft;2024-10-22;Structural aluminum angles;Amanda Reed;false;2024-10-18T10:00:00Z;2024-10-18T10:00:00Z
97;PO-0097;PO-2024-097;MAT-0047;Pneumatic Fittings;SUP-0047;FitTech Corp;150;PC;4.25;637.50;USD;Approved;2024-10-23;Pneumatic fitting inventory;Christopher Cook;true;2024-10-19T10:00:00Z;2024-10-19T10:00:00Z
98;PO-0098;PO-2024-098;MAT-0048;Grinding Compounds;SUP-0048;GrindTech Chemicals;8;KG;24.60;196.80;USD;Submitted;2024-10-24;Grinding compound supplies;Rachel Morgan;false;2024-10-20T10:00:00Z;2024-10-20T10:00:00Z
99;PO-0099;PO-2024-099;MAT-0049;Flow Meters;SUP-0049;FlowTech Instruments;3;PC;285.90;857.70;USD;Approved;2024-10-25;Flow measurement equipment;Daniel Bell;false;2024-10-21T10:00:00Z;2024-10-21T10:00:00Z
100;PO-0100;PO-2024-100;MAT-0050;Neoprene Sheets;SUP-0050;RubberTech Inc;20;M2;28.45;569.00;USD;Draft;2024-10-26;Rubber sheeting for sealing;Laura Murphy;true;2024-10-22T10:00:00Z;2024-10-22T10:00:00Z
